dataset,source,title,author,url,text,word_count
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,Then let the directions of your streets and alleys be laid down on the lines of division between the quarters of two winds. On this principle of arrangement the disagreeable force of the winds will be shut out from dwellings and lines of houses.,44
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"For if the streets run full in the face of the winds, their constant blasts rushing in from the open country, and then confined by narrow alleys, will sweep through them with great violence. The lines of houses must therefore be directed away from the quarters from which the winds blow, so that as they come in they may strike against the angles of the blocks and their force thus be broken and dispersed.",74
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"For the readier understanding of these topics, since I have treated them with brevity, it has seemed best to me to give two figures, or, as the Greeks say, [Greek: schemata], at the end of this book: one designed to show the precise quarters from which the winds arise; the other, how by turning the directions of the rows of houses and the streets away from their full force, we may avoid unhealthy blasts. Thus the space from G to H will belong to Auster and the south, and the space from I to K will be that of Septentrio.",100
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Thus we shall have the circumference divided into eight equal spaces for the winds. Having laid out the alleys and determined the streets, we have next to treat of the choice of building sites for temples, the forum, and all other public places, with a view to general convenience and utility.",51
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"If the city is on the sea, we should choose ground close to the harbour as the place where the forum is to be built; but if inland, in the middle of the town. For the temples, the sites for those of the gods under whose particular protection the state is thought to rest and for Jupiter, Juno, and Minerva, should be on the very highest point commanding a view of the greater part of the city.",77
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Mercury should be in the forum, or, like Isis and Serapis, in the emporium: Apollo and Father Bacchus near the theatre: Hercules at the circus in communities which have no gymnasia nor amphitheatres; Mars outside the city but at the training ground, and so Venus, but at the harbour. It is moreover shown by the Etruscan diviners in treatises on their science that the fanes of Venus, Vulcan, and Mars should be situated outside the walls, in order that the young men and married women may not become habituated in the city to the temptations incident to the worship of Venus, and that buildings may be free from the terror of fires through the religious rites and sacrifices which call the power of Vulcan beyond the walls.",127
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"As for Mars, when that divinity is enshrined outside the walls, the citizens will never take up arms against each other, and he will defend the city from its enemies and save it from danger in war. Ceres also should be outside the city in a place to which people need never go except for the purpose of sacrifice.",59
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"The principle governing the actual construction of temples and their symmetry I shall explain in my third and fourth books. In the second I have thought it best to give an account of the materials used in buildings with their good qualities and advantages, and then in the succeeding books to describe and explain the proportions of buildings, their arrangements, and the different forms of symmetry.",66
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Dinocrates, an architect who was full of confidence in his own ideas and skill, set out from Macedonia, in the reign of Alexander, to go to the army, being eager to win the approbation of the king. He took with him from his country letters from relatives and friends to the principal military men and officers of the court, in order to gain access to them more readily.",68
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"He was of very lofty stature and pleasing countenance, finely formed, and extremely dignified. ""Dinocrates,"" quoth he, ""a Macedonian architect, who brings thee ideas and designs worthy of thy renown.",30
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"I have made a design for the shaping of Mount Athos into the statue of a man, in whose left hand I have represented a very spacious fortified city, and in his right a bowl to receive the water of all the streams which are in that mountain, so that it may pour from the bowl into the sea."" 3. Alexander, delighted with the idea of his design, immediately inquired whether there were any fields in the neighbourhood that could maintain the city in corn.",85
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"On finding that this was impossible without transport from beyond the sea, ""Dinocrates,"" quoth he, ""I appreciate your design as excellent in composition, and I am delighted with it, but I apprehend that anybody who should found a city in that spot would be censured for bad judgement. For as a newborn babe cannot be nourished without the nurse's milk, nor conducted to the approaches that lead to growth in life, so a city cannot thrive without fields and the fruits thereof pouring into its walls, nor have a large population without plenty of food, nor maintain its population without a supply of it.",104
